kernel	vgpr	sgpr	lds_bytes	scratch_bytes	max_wg
29mul_mat_vec_q4_0_breit_gfx906ILi7ELi8ELi64ELb0	54	36	21504	0	256
30mul_mat_vec_q4_0_breit2_gfx906ILi8ELi16ELi32	102	34	12288	0	256
30mul_mat_vec_q4_0_breit2_gfx906ILi8ELi16ELi64	86	39	24576	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi8ELi16ELi32ELb0	66	32	12288	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi8ELi16ELi128ELb0	199	36	49152	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi8ELi16ELi64ELb0	55	36	24576	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi8ELi8ELi32ELb0	55	36	12288	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi8ELi8ELi128ELb0	199	36	49152	0	256
29mul_mat_vec_q4_0_breit_gfx906ILi8ELi8ELi64ELb0	55	36	24576	0	256
23mul_mat_vec_q4_K_gfx906ILb1	68	44	0	0	64
23mul_mat_vec_q4_K_gfx906ILb0	49	30	0	0	64
23mul_mat_vec_q3_K_gfx906ILb1	81	44	0	0	64
23mul_mat_vec_q3_K_gfx906ILb0	53	30	0	0	64
23mul_mat_vec_q2_K_gfx906ILb1	68	44	0	0	64
23mul_mat_vec_q2_K_gfx906ILb0	56	30	0	0	64
29mul_mat_vec_q5_K_breit_gfx906ILi2ELi16ELi4	50	35	3072	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi2ELi16ELi8	55	40	6144	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi3ELi16ELi4	56	35	4608	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi3ELi16ELi8	58	40	9216	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi4ELi16ELi4	57	35	6144	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi4ELi16ELi8	59	40	12288	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi5ELi16ELi4	59	34	7680	0	256
29mul_mat_vec_q5_K_breit_gfx906ILi5ELi16ELi8	58	38	15360	0	256
